Name,pmid,shorthand
Arbacia,5253657,A.
Paracentrotus,5253657,P.
Arbacia,5256223,A.
Paracentrotus,5256223,P.
Anopheles,5306541,A.
Anopheles,5306543,A.
Anopheles,5309520,A.
Xenopus,5641404,X.
Rana,5641404,R.
Lepus,5858029,L.
Drosophila,6093120,D.
Glossina,6093300,G.
Drosophila,6126320,D.
Meigen,6126320,M.
Drosophila,6164524,D.
Macropodus,6204560,M.
Lepomis,6240260,L.
Xenopus,6286140,X.
Borealis,6286140,B.
Drosophila,6300849,D.
Drosophila,6302276,D.
Schistosoma,6356670,S.
Bulinus,6356670,B.
Akodon,6363612,A.
Rana,6490739,R.
Brugia,6505786,B.
Meriones,6505786,M.
Mus,6576092,M.
Pongo,6594304,P.
Strongylocentrotus,6617991,S.
Lytechinus,6617991,L.
Mus,6663258,M.
Mus,6663259,M.
Simulium,6710602,S.
Salvelinus,6747263,S.
Mus,6757236,M.
Peromyscus,6757375,P.
Drosophila,6766221,D.
Drosophila,6803758,D.
Mus,6812867,M.
Trichinella,6827435,T.
Caenorhabditis,6959141,C.
Drosophila,6959141,D.
Aedes,7069190,A.
Anopheles,7080162,A.
Cercopithecus,7095658,C.
Nematospiroides,7122127,N.
Mus,7122127,M.
Cercopithecus,7129256,C.
Lemur,7175826,L.
Drosophila,7200915,D.
Brachydanio,7264578,B.
Tetrahymena,7276520,T.
Streptopelia,7276528,S.
Macropus,7327045,M.
Wallabia,7327045,W.
Macropus,7389514,M.
Wallabia,7389514,W.
Lemur,7419135,L.
Mus,7431295,M.
Schistosoma,7434427,S.
Bombina,7575392,B.
Drosophila,7591831,D.
Drosophila,7591836,D.
Culex,7602173,C.
Drosophila,7605674,D.
Boophilus,7628244,B.
Drosophila,7632441,D.
Drosophila,7635285,D.
Gata,7665171,G.
Mus,7665171,M.
Choristoneura,7715447,C.
Bombyx,7715447,B.
Anopheles,7721071,A.
Luxilus,7735524,L.
Drosophila,7791899,D.
Xiphophorus,7805027,X.
Rattus,7831094,R.
Syphacia,7831094,S.
Allonemobius,7890927,A.
Myzus,7894746,M.
Bufo,7896129,B.
Mus,7910582,M.
Macaca,8003347,M.
Schistosoma,8019888,S.
Drosophila,8056308,D.
Drosophila,8056310,D.
Tribolium,8150655,T.
Tribolium,8150656,T.
Mus,8188294,M.
Gambusia,8197186,G.
Drosophila,8206363,D.
Drosophila,8206365,D.
Drosophila,8224853,D.
Drosophila,8224857,D.
Xenopus,8270095,X.
Daphnia,8277855,D.
Anopheles,8279641,A.
Balaenoptera,8308901,B.
Drosophila,8316215,D.
Lutzomyia,8333579,L.
Drosophila,8335085,D.
Drosophila,8335477,D.
Daphnia,8346220,D.
Ixodes,8433346,I.
Drosophila,8436277,D.
Eulemur,8449031,E.
Rana,8458253,R.
Drosophila,8476394,D.
Peromyscus,8495994,P.
Drosophila,8496066,D.
Drosophila,8514134,D.
Drosophila,8514135,D.
Drosophila,8514139,D.
Drosophila,8557305,D.
Hyla,8568210,H.
Drosophila,8569692,D.
Drosophila,8600389,D.
Mus,8661719,M.
Drosophila,8682693,D.
Rana,8743018,R.
Drosophila,8765678,D.
Drosophila,8801221,D.
Xiphophorus,8806224,X.
Drosophila,9071584,D.
Drosophila,9081860,D.
Drosophila,9093852,D.
Drosophila,9093854,D.
Drosophila,9093855,D.
Drosophila,9134705,D.
Morone,9157680,M.
Thomomys,9161013,T.
Lepus,9161014,L.
Paramacropostrongylus,9193941,P.
Macropus,9193941,M.
Drosophila,9206663,D.
Tropidophoxinellus,9215902,T.
Leuciscus,9215902,L.
Poeciliopsis,9222599,P.
Rana,9244766,R.
Mus,9258682,M.
Rana,9293636,R.
Bos,9345913,B.
Poecilia,9357168,P.
Macaca,9359964,M.
Dermacentor,9363622,D.
Gryllus,9369011,G.
Rana,9377180,R.
Cervus,9378911,C.
Bos,9378912,B.
Equus,9378914,E.
Petrogale,9378915,P.
Thylogale,9378915,T.
Tribolium,9383066,T.
Tridentiger,9402736,T.
Anopheles,9409838,A.
Drosophila,9440264,D.
Ceratitis,9440264,C.
Trirhithrum,9440264,T.
Drosophila,9474773,D.
Drosophila,9487683,D.
Oesophagostomum,9491418,O.
Cirrhina,9549057,C.
Clarias,9549057,C.
Catla,9549057,C.
Labeo,9549057,L.
Heteropneustes,9549057,H.
Suncus,9549061,S.
Drosophila,9649532,D.
Xiphophorus,9661661,X.
Xiphophorus,9691046,X.
Xiphophorus,9691047,X.
Xela,9691047,X.
Ceratophyllus,9701924,C.
Schistosoma,9762560,S.
Echinostoma,9778635,E.
Nasonia,9800369,N.
Peromyscus,9843208,P.
Drosophila,9879012,D.
Rattus,9879738,R.
Canis,9919703,C.
Schistosoma,9921356,S.
Biomphalaria,9921356,B.
Rana,10051613,R.
Poeciliopsis,10051613,P.
Heliocidaris,10101127,H.
Drosophila,10406110,D.
Mus,10463348,M.
Lepus,10509140,L.
Oryctolagus,10509140,O.
Phoxinus,10531553,P.
Dendroica,10564448,D.
Austropotamobius,10652073,A.
Nezara,10653190,N.
Drosophila,10706624,D.
Drosophila,10747067,D.
Anopheles,10772574,A.
Hyla,10773656,H.
Drosophila,10783530,D.
Phyllotis,10783533,P.
Drosophila,10790397,D.
Caenorhabditis,10819307,C.
Drosophila,10978291,D.
Saimiri,10991789,S.
Triatoma,10998206,T.
Rhodnius,10998206,R.
Daphnia,11091309,D.
Glossina,11126547,G.
Bombina,11131340,B.
Darevskia,11138937,D.
